0,0.00557216,0.409601,0.428273
10,0.00415594,0.00302386,0.369897
20,0.00203762,0.00271337,0.296632
30,0.00171516,0.00236913,0.29065
40,0.00168779,0.00237955,0.293799
50,0.00202913,0.00252542,0.381119
60,0.00317614,0.00313596,0.33427
70,0.00198575,0.00248987,0.32617
80,0.00176383,0.00251138,0.325326
90,0.00176897,0.00247157,0.326141
100,0.00197311,0.00244658,0.326636
110,0.00198235,0.0025336,0.32603
120,0.00170204,0.00255716,0.322292
130,0.00185475,0.00241457,0.358333
140,0.00172567,0.0024525,0.323031
150,0.00177425,0.00254855,0.353373
160,0.00194278,0.00243907,0.360326
170,0.00199442,0.00250888,0.359836
180,0.00174846,0.0025929,0.355524
190,0.00166724,0.00246575,0.355541
200,0.00170786,0.0025614,0.361193
210,0.00174064,0.00254313,0.384422
220,0.00316213,0.00325714,0.468678
230,0.00316098,0.00325215,0.463834
240,0.00313493,0.00323524,0.414664
250,0.00171825,0.00251701,0.299084
260,0.0019615,0.00252693,0.296761
270,0.00169664,0.00250637,0.299217
280,0.00175383,0.00262933,0.296841
290,0.00184276,0.0026167,0.302442
300,0.00173389,0.0026152,0.309096
310,0.00168716,0.00250616,0.329469
320,0.00172392,0.00253211,0.328062
330,0.00196078,0.00253667,0.33246
340,0.00174518,0.00263435,0.374638
350,0.00317334,0.00329412,0.444119
360,0.00312598,0.00330928,0.348452
370,0.00179106,0.00273848,0.339315
380,0.00190957,0.0027394,0.342094
390,0.00199183,0.00269959,0.337493
400,0.00183447,0.00272483,0.340709
410,0.00189128,0.00275981,0.334764
420,0.00166502,0.00253979,0.331175
430,0.00194666,0.00252023,0.333747
440,0.0018816,0.00257376,0.333757
450,0.00164474,0.00262749,0.334042
460,0.00164849,0.00261023,0.326882
470,0.00165899,0.0026131,0.3316
480,0.00165139,0.00249855,0.332534
490,0.00170739,0.0026696,0.332516
500,0.00162937,0.00255192,0.330579
510,0.00162189,0.0025485,0.332976
520,0.00160912,0.00264636,0.33365
530,0.00168081,0.00264197,0.332133
540,0.00165625,0.00263713,0.334291
550,0.0018052,0.00282162,0.353583
560,0.00192255,0.00288268,0.35334
570,0.001874,0.00284936,0.350667
580,0.00176836,0.0027703,0.348368
590,0.00186838,0.00281136,0.352447
600,0.0018306,0.00291573,0.35538
610,0.00192416,0.00288668,0.360472
620,0.00180457,0.00280802,0.358815
630,0.00197622,0.00301134,0.369399
640,0.00199913,0.00297203,0.38051
650,0.00179383,0.0025304,0.336738
660,0.00197375,0.00265355,0.336147
670,0.00172023,0.00264921,0.335331
680,0.00163042,0.00258542,0.339788
690,0.00170244,0.00264504,0.335968
700,0.00195709,0.00263785,0.335547
710,0.00183144,0.00264648,0.336453
720,0.00207461,0.00255589,0.345703
730,0.00189125,0.00265228,0.36209
740,0.00191461,0.00253618,0.372376
750,0.00193593,0.00263709,0.372519
760,0.00170816,0.00263947,0.36958
770,0.00169606,0.00265272,0.373191
780,0.00172623,0.0026699,0.372077
790,0.00165967,0.00267806,0.375647
800,0.00192845,0.00272846,0.373889
810,0.00176465,0.00264702,0.372663
820,0.00177685,0.00257063,0.371905
830,0.00178689,0.00270999,0.369642
840,0.0016311,0.00272524,0.376416
850,0.00200337,0.0027087,0.359815
860,0.00207707,0.00277781,0.339839
870,0.00191879,0.00278113,0.313773
880,0.00184943,0.00267687,0.317608
890,0.00198489,0.00284105,0.323873
900,0.00198841,0.0029429,0.380232
910,0.00310863,0.00342747,0.363014
920,0.00201423,0.00297437,0.340192
930,0.00203252,0.00298477,0.338614
940,0.00206625,0.00296492,0.33928
950,0.00194601,0.00298753,0.335751
960,0.00199981,0.00290805,0.337381
970,0.00197383,0.00297913,0.336236
980,0.0020042,0.00296826,0.344905
