0,6.98556,2.45666,0.606854
300,6.53913,2.42294,0.538747
600,6.57014,2.44493,0.672504
900,6.54378,2.47738,0.84348
1200,6.60048,2.55294,1.10795
1500,6.53912,2.58576,1.48114
1800,6.59518,2.64048,1.86514
2100,6.60142,2.73776,2.41316
2400,4.64017,2.84733,3.07859
2700,0.824785,2.98179,3.97965
